rank,percentile,ensemble_score,investment_tier,molecule_id,molecule,manufacturer,country,sector,revenue_growth_%,revenue_growth,market_size_$M,competition_count,market_share_%,volatility,is_new_entry,is_exit,is_inactive,has_partial_presence,opportunity_score,risk_score,confidence_level,ml_classification,market_segment,key_drivers,risks,entry_strategy
11.0,94.89795918367348,80.4829242176751,High Potential,DANAPHA (TW5)_PHENYTOIN_VIETNAM,PHENYTOIN,DANAPHA (TW5),VIETNAM,HOSPITAL,-90.7,-90.7,0.0,6,3.5,0.335,False,False,False,False,76.9,27.0,Medium,High,GROWTH,⚠️ Declining demand (-91%) | 🎯 Niche market ($0.0M) | 🏢 Share: 3.5% | ⚔️ Competitive (6 competitors) | 💵 Pricing power (+14.2%),Generic erosion pressure: price decline with volume expansion | Market decline: losing 91% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
12.0,94.38775510204081,80.01657295486682,High Potential,DANAPHA (TW5)_PHENOBARBITAL_VIETNAM,PHENOBARBITAL,DANAPHA (TW5),VIETNAM,RETAIL,,,0.2,19,5.9,182072925087718.75,False,False,False,False,80.2,33.6,Medium,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.2M) | 🏢 Share: 5.9% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
13.0,93.87755102040816,79.05582174210717,High Potential,PHARMATHEN_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,PHARMATHEN,VIETNAM,HOSPITAL,143.2,143.2,0.1,5,6.1,0.227,False,False,False,False,62.3,24.8,High,High,GROWTH,🔥 Strong growth (143%) | 🎯 Niche market ($0.1M) | 🏢 Share: 6.1% | ⚔️ Competitive (5 competitors) | 💵 Pricing power (+16.3%),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,DIFFERENTIATION
14.0,93.36734693877551,78.61375453844937,High Potential,SAVIPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,SAVIPHARM,VIETNAM,HOSPITAL,-90.1,-90.1,0.0,4,13.9,0.349,False,False,False,False,52.2,12.1,High,High,GROWTH,⚠️ Declining demand (-90%) | 🎯 Niche market ($0.0M) | 🏢 Share: 13.9% | ⚔️ Competitive (4 competitors) | 💵 Pricing power (+57.6%),Generic erosion pressure: price decline with volume expansion | Market decline: losing 90% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
15.0,92.85714285714286,78.55553968827004,High Potential,T&T EQUIPMENT_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,T&T EQUIPMENT,VIETNAM,HOSPITAL,-100.0,-100.0,0.0,4,0.0,0.707,False,False,False,False,44.1,7.1,High,High,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (4 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
16.0,92.3469387755102,78.37898260873371,High Potential,PHARMATHEN_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PHARMATHEN,VIETNAM,HOSPITAL,,,0.0,4,10.6,13293607486305.703,False,False,False,False,47.7,6.8,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 10.6% | ⚔️ Competitive (4 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
17.0,91.83673469387756,78.15107933699775,High Potential,USARICHPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,USARICHPHARM,VIETNAM,HOSPITAL,96.5,96.5,0.0,4,8.7,0.313,False,False,False,False,52.4,13.9,High,High,GROWTH,🔥 Strong growth (96%) | 🎯 Niche market ($0.0M) | 🏢 Share: 8.7% | ⚔️ Competitive (4 competitors),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
18.0,91.3265306122449,77.82883563503046,High Potential,HASAN-DERMAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,HASAN-DERMAPHARM,VIETNAM,RETAIL,50.1,50.1,0.1,2,81.4,0.33,False,False,False,False,47.7,8.4,High,High,GROWTH,🔥 Strong growth (50%) | 🎯 Niche market ($0.1M) | 🏢 Share: 81.4% | 🛡️ Concentrated (2 competitors),Monopoly concentration (81.4% share) increases regulatory and pricing exposure | Limited market size: constrained opportunity and thin liquidity,MONOPOLY_DEFENSE
19.0,90.81632653061224,77.76930411787306,High Potential,DANAPHA (TW5)_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DANAPHA (TW5),VIETNAM,RETAIL,110.7,110.7,0.0,4,27.3,0.713,False,False,False,False,48.6,9.2,High,High,GROWTH,🔥 Strong growth (111%) | 🎯 Niche market ($0.0M) | 🏢 Share: 27.3% | ⚔️ Competitive (4 competitors) | 💵 Pricing power (+100.0%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
20.0,90.3061224489796,77.76902899807254,High Potential,EISAI_PERAMPANEL_VIETNAM,PERAMPANEL,EISAI,VIETNAM,RETAIL,56.1,56.1,0.1,14,1.0,0.835,False,False,False,False,65.6,26.8,High,High,GROWTH,🔥 Strong growth (56%) | 🎯 Niche market ($0.1M) | 🏢 Share: 1.0% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
21.0,89.79591836734694,77.54328747525093,High Potential,GSK_LAMOTRIGINE_VIETNAM,LAMOTRIGINE,GSK,VIETNAM,HOSPITAL,,,0.0,14,0.1,29896474708567.23,False,False,False,False,60.6,22.4,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.1% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
22.0,89.28571428571429,77.54027577610836,High Potential,GSK_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,GSK,VIETNAM,RETAIL,59.3,59.3,1.5,14,21.0,0.164,False,False,False,False,47.8,9.4,High,High,GROWTH,🔥 Strong growth (59%) | 🎯 Niche market ($1.5M) | 🏢 Share: 21.0% | ⚔️ Competitive (14 competitors),None identified,NICHE_PARTNERSHIP
23.0,88.77551020408163,77.35184842808764,High Potential,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,RETAIL,-34.3,-34.3,0.0,14,0.0,60.643,False,False,False,False,47.6,11.0,High,High,GROWTH,⚠️ Declining demand (-34%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (14 competitors) | 💵 Pricing power (+47.9%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 34% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
24.0,88.26530612244898,77.28731083081519,High Potential,DAVI PHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DAVI PHARM,VIETNAM,HOSPITAL,,,0.0,5,0.0,5091168824543.85,False,False,False,False,50.6,14.2,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (5 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
25.0,87.75510204081633,77.19790924826009,High Potential,STELLAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,STELLAPHARM,VIETNAM,RETAIL,,,0.0,19,0.0,9821713190681.145,False,False,False,False,43.3,6.0,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
26.0,87.24489795918367,76.91430082690715,High Potential,NORMON_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,NORMON,VIETNAM,HOSPITAL,500.0,500.0,0.1,19,2.8,0.923,False,False,False,False,58.8,27.8,High,High,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.1M) | 🏢 Share: 2.8% | 🔀 Fragmented (19 competitors) | 💵 Pricing power (+36.0%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,DIFFERENTIATION
27.0,86.73469387755102,76.90623344498849,High Potential,AGUETTANT_VALPROIC ACID_VIETNAM,VALPROIC ACID,AGUETTANT,VIETNAM,HOSPITAL,500.0,500.0,0.0,5,1.6,15.597,False,False,False,False,39.5,8.9,High,High,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.0M) | 🏢 Share: 1.6% | ⚔️ Competitive (5 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
28.0,86.22448979591837,76.87436259256341,High Potential,WINDLAS BIOTECH_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,WINDLAS BIOTECH,VIETNAM,HOSPITAL,17.8,17.8,0.2,8,12.6,0.028,False,False,False,False,48.0,11.6,High,High,GROWTH,📊 Stable growth (18%) | 🎯 Niche market ($0.2M) | 🏢 Share: 12.6% | ⚔️ Competitive (8 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
29.0,85.71428571428571,76.67637280315083,High Potential,AKUMS DRUGS&PHARMA_VALPROIC ACID_VIETNAM,VALPROIC ACID,AKUMS DRUGS&PHARMA,VIETNAM,HOSPITAL,-56.2,-56.2,0.1,8,5.2,0.424,False,False,False,False,49.8,15.4,High,High,GROWTH,⚠️ Declining demand (-56%) | 🎯 Niche market ($0.1M) | 🏢 Share: 5.2% | ⚔️ Competitive (8 competitors),Market decline: losing 56% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
30.0,85.20408163265306,76.2745701157873,High Potential,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,HOSPITAL,,,0.0,14,0.4,187991408846255.53,False,False,False,False,45.1,11.5,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.4% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
31.0,84.6938775510204,76.16026523002606,High Potential,PHARMATHEN_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PHARMATHEN,VIETNAM,RETAIL,,,0.0,8,0.2,9199459223236.25,False,False,False,False,47.4,13.4,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.2% | ⚔️ Competitive (8 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
32.0,84.18367346938776,76.13254900227687,High Potential,SUN PHARMA_VALPROIC ACID_VIETNAM,VALPROIC ACID,SUN PHARMA,VIETNAM,HOSPITAL,,,0.1,7,4.1,711165574110558.4,False,False,False,False,47.8,14.3,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.1M) | 🏢 Share: 4.1% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
33.0,83.6734693877551,76.00484551002467,High Potential,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,RETAIL,-44.8,-44.8,0.1,1,29.4,1.314,False,False,False,False,48.3,15.5,High,High,GROWTH,⚠️ Declining demand (-45%) | 🎯 Niche market ($0.1M) | 🏢 Share: 29.4% | 🛡️ Concentrated (1 competitors) | 📉 Price pressure (-18.5%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Market decline: losing 45% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
34.0,83.16326530612244,75.33393818628625,High Potential,EVERTOGEN_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,EVERTOGEN,VIETNAM,HOSPITAL,-69.0,-69.0,0.0,1,1.3,0.978,False,False,False,False,52.3,22.5,High,High,GROWTH,⚠️ Declining demand (-69%) | 🎯 Niche market ($0.0M) | 🏢 Share: 1.3% | 🛡️ Concentrated (1 competitors) | 📉 Price pressure (-18.9%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Market decline: losing 69% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
35.0,82.6530612244898,75.27034964264021,High Potential,HASAN-DERMAPHARM_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,HASAN-DERMAPHARM,VIETNAM,RETAIL,79.0,79.0,0.0,1,8.2,4.088,False,False,False,False,56.7,28.2,High,High,GROWTH,🔥 Strong growth (79%) | 🎯 Niche market ($0.0M) | 🏢 Share: 8.2% | 🛡️ Concentrated (1 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
36.0,82.14285714285714,75.2019794390099,High Potential,VIDIPHA (VDP)_PHENOBARBITAL_VIETNAM,PHENOBARBITAL,VIDIPHA (VDP),VIETNAM,HOSPITAL,396.7,396.7,0.1,7,4.5,2.509,False,False,False,False,60.1,27.5,High,High,GROWTH,🔥 Strong growth (397%) | 🎯 Niche market ($0.1M) | 🏢 Share: 4.5% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
37.0,81.63265306122449,75.12504148230659,High Potential,SUN PHARMA_VALPROIC ACID_VIETNAM,VALPROIC ACID,SUN PHARMA,VIETNAM,HOSPITAL,,,0.1,7,4.2,718957890839234.1,False,False,False,False,47.2,16.6,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.1M) | 🏢 Share: 4.2% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
38.0,81.12244897959184,75.0382554726954,High Potential,EISAI_PERAMPANEL_VIETNAM,PERAMPANEL,EISAI,VIETNAM,RETAIL,,,0.2,7,9.2,1588161830544985.8,False,False,False,False,59.1,28.8,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.2M) | 🏢 Share: 9.2% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
39.0,80.61224489795919,74.89640692993154,High Potential,DANAPHA (TW5)_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,DANAPHA (TW5),VIETNAM,HOSPITAL,104.5,104.5,0.0,5,19.8,0.075,False,False,False,False,52.4,23.4,High,High,GROWTH,🔥 Strong growth (104%) | 🎯 Niche market ($0.0M) | 🏢 Share: 19.8% | ⚔️ Competitive (5 competitors),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
40.0,80.10204081632652,74.7364350589168,High Potential,HASAN-DERMAPHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,130.5,130.5,0.0,5,2.2,7.21,False,False,False,False,36.6,10.9,High,High,GROWTH,🔥 Strong growth (130%) | 🎯 Niche market ($0.0M) | 🏢 Share: 2.2% | ⚔️ Competitive (5 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
41.0,79.59183673469387,74.68579629135708,High Potential,DANAPHA (TW5)_PHENOBARBITAL_VIETNAM,PHENOBARBITAL,DANAPHA (TW5),VIETNAM,HOSPITAL,-47.8,-47.8,0.1,19,1.5,2.194,False,False,False,False,52.4,23.2,High,High,GROWTH,⚠️ Declining demand (-48%) | 🎯 Niche market ($0.1M) | 🏢 Share: 1.5% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Market decline: losing 48% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
42.0,79.08163265306123,74.65988125054884,High Potential,HASAN-DERMAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,81.7,81.7,1.7,19,45.5,0.0,False,False,False,False,48.4,17.4,High,High,GROWTH,🔥 Strong growth (82%) | 🎯 Niche market ($1.7M) | 🏢 Share: 45.5% | 🔀 Fragmented (19 competitors),Generic erosion pressure: price decline with volume expansion,NICHE_PARTNERSHIP
43.0,78.57142857142857,74.64401747304312,High Potential,HASAN-DERMAPHARM_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,277.8,277.8,0.1,7,2.7,0.603,False,False,False,False,50.2,22.1,High,High,GROWTH,🔥 Strong growth (278%) | 🎯 Niche market ($0.1M) | 🏢 Share: 2.7% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
44.0,78.06122448979592,74.5530022851213,High Potential,DANAPHA (TW5)_CARBAMAZEPINE_VIETNAM,CARBAMAZEPINE,DANAPHA (TW5),VIETNAM,RETAIL,51.7,51.7,0.7,7,30.6,0.255,False,False,False,False,50.4,22.0,High,High,GROWTH,🔥 Strong growth (52%) | 🎯 Niche market ($0.7M) | 🏢 Share: 30.6% | ⚔️ Competitive (7 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
45.0,77.55102040816327,74.11258770337363,High Potential,NORMON_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,NORMON,VIETNAM,HOSPITAL,500.0,500.0,0.0,19,1.1,2.299,False,False,False,False,49.4,23.3,High,High,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.0M) | 🏢 Share: 1.1% | 🔀 Fragmented (19 competitors) | 📉 Price pressure (-24.6%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
46.0,77.04081632653062,74.10893316343302,High Potential,STELLAPHARM_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,STELLAPHARM,VIETNAM,RETAIL,32.7,32.7,0.3,14,3.7,0.774,False,False,False,False,48.6,21.9,High,High,GROWTH,📊 Stable growth (33%) | 🎯 Niche market ($0.3M) | 🏢 Share: 3.7% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
47.0,76.53061224489795,73.23208839116538,High Potential,NOVARTIS PHARMA_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,NOVARTIS PHARMA,VIETNAM,RETAIL,,,0.0,14,0.0,19254517651709.688,False,False,False,False,48.2,24.0,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
48.0,76.0204081632653,73.10508075643585,High Potential,AGIMEXPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,AGIMEXPHARM,VIETNAM,HOSPITAL,,,0.1,14,1.2,580874078609125.1,False,False,False,False,48.0,20.0,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.1M) | 🏢 Share: 1.2% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
49.0,75.51020408163265,73.0880462547438,High Potential,PHARMASCIENCE_TOPIRAMATE_VIETNAM,TOPIRAMATE,PHARMASCIENCE,VIETNAM,RETAIL,-100.0,-100.0,0.0,4,0.0,0.863,False,False,False,False,47.2,23.4,High,High,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (4 competitors) | 📉 Price pressure (-100.0%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
50.0,75.0,72.62334812568784,High Potential,DAVI PHARM_TOPIRAMATE_VIETNAM,TOPIRAMATE,DAVI PHARM,VIETNAM,HOSPITAL,39.6,39.6,0.5,8,34.1,0.621,False,False,False,False,34.9,15.3,High,High,GROWTH,📊 Stable growth (40%) | 🎯 Niche market ($0.5M) | 🏢 Share: 34.1% | ⚔️ Competitive (8 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
