rank,percentile,ensemble_score,investment_tier,molecule_id,molecule,manufacturer,country,sector,revenue_growth_%,revenue_growth,market_size_$M,competition_count,market_share_%,volatility,opportunity_score,risk_score,confidence_level,ml_classification,market_segment,key_drivers,risks,entry_strategy
11.0,94.89795918367348,69.8866319833834,Avoid,DANAPHA (TW5)_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DANAPHA (TW5),VIETNAM,RETAIL,-90.7,-90.7,0.0,6,2.4,0.335,64.6,27.6,Medium,Medium,GROWTH,Declining demand (-91%) | Niche market ($0.0M) | Share position (2.4%) | Competitive market (6 competitors) | Pricing power (14.2% growth),Generic erosion pressure: price decline with volume expansion | Market decline: losing 91% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
12.0,94.38775510204081,69.4649680583189,High Potential,AGIMEXPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,AGIMEXPHARM,VIETNAM,RETAIL,500.0,500.0,0.2,19,17.2,5.375,64.6,28.7,Medium,Medium,GROWTH,Strong growth (500%) | Niche market ($0.2M) | Share position (17.2%) | Fragmented market (19 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
13.0,93.87755102040816,69.41690902612388,Moderate,NORMON_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,NORMON,VIETNAM,HOSPITAL,143.2,143.2,0.1,5,4.7,0.227,68.1,38.5,Medium,Medium,GROWTH,Strong growth (143%) | Niche market ($0.1M) | Share position (4.7%) | Competitive market (5 competitors) | Pricing power (16.3% growth),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,DIFFERENTIATION
14.0,93.36734693877551,69.3353750702652,Avoid,GSK_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,GSK,VIETNAM,RETAIL,-90.1,-90.1,0.0,4,0.2,0.349,62.0,27.4,Medium,Medium,GROWTH,Declining demand (-90%) | Niche market ($0.0M) | Share position (0.2%) | Competitive market (4 competitors) | Pricing power (57.6% growth),Generic erosion pressure: price decline with volume expansion | Market decline: losing 90% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
15.0,92.85714285714286,69.29711780958715,Avoid,WINDLAS BIOTECH_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,WINDLAS BIOTECH,VIETNAM,HOSPITAL,0.0,0.0,0.0,4,0.2,0.0,64.0,29.0,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (0.2%) | Competitive market (4 competitors),Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
16.0,92.3469387755102,69.20577831253999,Moderate,PHARMATHEN_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,PHARMATHEN,VIETNAM,HOSPITAL,196.4,196.4,0.0,4,0.2,1.389,68.2,39.3,Medium,Medium,GROWTH,Strong growth (196%) | Niche market ($0.0M) | Share position (0.2%) | Competitive market (4 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
17.0,91.83673469387756,69.03155660491905,Moderate,HASAN-DERMAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,HASAN-DERMAPHARM,VIETNAM,RETAIL,96.5,96.5,0.0,4,0.2,0.313,60.9,27.5,Medium,Medium,GROWTH,Strong growth (96%) | Niche market ($0.0M) | Share position (0.2%) | Competitive market (4 competitors),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
18.0,91.3265306122449,68.91626217705516,Avoid,KRKA_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,KRKA,VIETNAM,HOSPITAL,50.1,50.1,0.1,2,0.3,0.33,68.0,37.9,Medium,Medium,GROWTH,Strong growth (50%) | Niche market ($0.1M) | Share position (0.3%) | Concentrated market (2 competitors),Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
19.0,90.81632653061224,68.653169096406,Moderate,AKUMS DRUGS&PHARMA_VALPROIC ACID_VIETNAM,VALPROIC ACID,AKUMS DRUGS&PHARMA,VIETNAM,RETAIL,110.7,110.7,0.0,4,0.3,0.713,77.7,40.2,Medium,Medium,GROWTH,Strong growth (111%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (4 competitors) | Pricing power (100.0% growth) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
20.0,90.3061224489796,68.54676685081043,Moderate,KRKA_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,KRKA,VIETNAM,HOSPITAL,56.1,56.1,0.1,14,31.7,0.835,68.0,38.0,Medium,Medium,GROWTH,Strong growth (56%) | Niche market ($0.1M) | Share position (31.7%) | Competitive market (14 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
21.0,89.79591836734694,68.3023154133659,Avoid,PHARMATHEN_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PHARMATHEN,VIETNAM,HOSPITAL,0.0,0.0,0.0,14,31.7,0.0,59.3,28.1,Medium,Medium,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
22.0,89.28571428571429,68.06932704531816,High Potential,NORMON_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,NORMON,VIETNAM,HOSPITAL,59.3,59.3,1.5,14,31.7,0.164,67.9,38.4,Medium,Medium,GROWTH,Strong growth (59%) | Niche market ($1.5M) | Share position (31.7%) | Competitive market (14 competitors),None identified,NICHE_PARTNERSHIP
23.0,88.77551020408163,67.78606477899304,Avoid,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,HOSPITAL,-34.3,-34.3,0.0,14,31.7,60.643,46.0,30.9,High,Medium,MATURE,Declining demand (-34%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors) | Pricing power (47.9% growth) | High volatility across MAT periods,High competitive risk (score: 72) | High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 34% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
24.0,88.26530612244898,67.76931714434471,Avoid,USARICHPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,USARICHPHARM,VIETNAM,HOSPITAL,0.0,0.0,0.0,5,0.3,0.0,64.1,36.7,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (5 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
25.0,87.75510204081633,67.7057627911291,Avoid,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,RETAIL,0.0,0.0,0.0,19,17.2,0.0,58.4,30.4,Medium,Medium,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
26.0,87.24489795918367,67.70168330312947,Moderate,STELLAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,STELLAPHARM,VIETNAM,RETAIL,500.0,500.0,0.1,19,17.2,0.923,56.9,27.5,Medium,Medium,MATURE,Strong growth (500%) | Niche market ($0.1M) | Share position (17.2%) | Fragmented market (19 competitors) | Pricing power (36.0% growth) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,DIFFERENTIATION
27.0,86.73469387755102,67.44116147159644,Moderate,BOSTON VN_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,BOSTON VN,VIETNAM,HOSPITAL,500.0,500.0,0.0,5,4.7,15.597,67.9,38.3,Medium,Medium,GROWTH,Strong growth (500%) | Niche market ($0.0M) | Share position (4.7%) | Competitive market (5 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
28.0,86.22448979591837,66.58104803995721,Avoid,KRKA_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,KRKA,VIETNAM,RETAIL,17.8,17.8,0.2,8,7.5,0.028,62.2,37.5,Medium,Medium,GROWTH,Stable-to-moderate growth (18%) | Niche market ($0.2M) | Share position (7.5%) | Competitive market (8 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
29.0,85.71428571428571,66.4898461460743,Avoid,STELLAPHARM_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,STELLAPHARM,VIETNAM,RETAIL,-56.2,-56.2,0.1,8,7.5,0.424,62.2,37.0,Medium,Medium,GROWTH,Declining demand (-56%) | Niche market ($0.1M) | Share position (7.5%) | Competitive market (8 competitors),Market decline: losing 56% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
30.0,85.20408163265306,66.36708923331659,Avoid,KRKA_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,KRKA,VIETNAM,RETAIL,0.0,0.0,0.0,14,31.7,0.0,62.1,37.3,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
31.0,84.6938775510204,65.70139733968355,Moderate,PHARMATHEN_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PHARMATHEN,VIETNAM,HOSPITAL,103.7,103.7,0.0,8,7.5,0.733,50.5,28.0,High,Medium,MATURE,Strong growth (104%) | Niche market ($0.0M) | Share position (7.5%) | Competitive market (8 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
32.0,84.18367346938776,65.64408561632273,Avoid,EVERTOGEN_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,EVERTOGEN,VIETNAM,HOSPITAL,0.0,0.0,0.1,7,12.3,0.0,59.2,38.0,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.1M) | Share position (12.3%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
33.0,83.6734693877551,65.56419253061114,Avoid,HASAN-DERMAPHARM_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,-44.8,-44.8,0.1,1,0.4,1.314,59.2,37.6,High,Medium,GROWTH,Declining demand (-45%) | Niche market ($0.1M) | Share position (0.4%) | Concentrated market (1 competitors) | Price erosion (-18.5%) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Market decline: losing 45% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
34.0,83.16326530612244,65.2154268501182,Avoid,JANSSEN-CILAG_TOPIRAMATE_VIETNAM,TOPIRAMATE,JANSSEN-CILAG,VIETNAM,HOSPITAL,-69.0,-69.0,0.0,1,0.4,0.978,53.4,36.7,High,Medium,MATURE,Declining demand (-69%) | Niche market ($0.0M) | Share position (0.4%) | Concentrated market (1 competitors) | Price erosion (-18.9%) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Market decline: losing 69% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
35.0,82.6530612244898,65.19370206292524,Moderate,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,HOSPITAL,79.0,79.0,0.0,1,0.4,4.088,51.3,31.1,High,Medium,MATURE,Strong growth (79%) | Niche market ($0.0M) | Share position (0.4%) | Concentrated market (1 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
36.0,82.14285714285714,65.12550137128129,Moderate,AN THIEN_A.T PHARM_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,AN THIEN_A.T PHARM,VIETNAM,HOSPITAL,396.7,396.7,0.1,7,12.3,2.509,59.2,40.2,Medium,Medium,GROWTH,Strong growth (397%) | Niche market ($0.1M) | Share position (12.3%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
37.0,81.63265306122449,64.73107992629065,Avoid,NOVARTIS PHARMA_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,NOVARTIS PHARMA,VIETNAM,HOSPITAL,0.0,0.0,0.1,7,12.3,0.0,50.7,39.6,High,Medium,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.1M) | Share position (12.3%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
38.0,81.12244897959184,64.42584149323888,Avoid,SAVIPHARM_TOPIRAMATE_VIETNAM,TOPIRAMATE,SAVIPHARM,VIETNAM,HOSPITAL,0.0,0.0,0.2,7,12.3,0.0,54.5,37.1,High,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.2M) | Share position (12.3%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
39.0,80.61224489795919,63.945400878837155,Moderate,HASAN-DERMAPHARM_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,HASAN-DERMAPHARM,VIETNAM,RETAIL,104.5,104.5,0.0,5,0.3,0.075,52.5,37.9,High,Medium,GROWTH,Strong growth (104%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (5 competitors),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
40.0,80.10204081632652,63.25283946074194,Moderate,TORRENT_TOPIRAMATE_VIETNAM,TOPIRAMATE,TORRENT,VIETNAM,HOSPITAL,130.5,130.5,0.0,5,0.3,7.21,54.5,40.5,Medium,Medium,GROWTH,Strong growth (130%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (5 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
41.0,79.59183673469387,62.928401577321104,Avoid,DOPHARMA (TW2)_TOPIRAMATE_VIETNAM,TOPIRAMATE,DOPHARMA (TW2),VIETNAM,HOSPITAL,-47.8,-47.8,0.1,19,17.2,2.194,50.5,36.6,High,Medium,MATURE,Declining demand (-48%) | Niche market ($0.1M) | Share position (17.2%) | Fragmented market (19 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Market decline: losing 48% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
42.0,79.08163265306123,62.816536292849,High Potential,DAVI PHARM_TOPIRAMATE_VIETNAM,TOPIRAMATE,DAVI PHARM,VIETNAM,RETAIL,81.7,81.7,1.7,19,17.2,0.0,52.4,39.1,Medium,Medium,GROWTH,Strong growth (82%) | Niche market ($1.7M) | Share position (17.2%) | Fragmented market (19 competitors),Generic erosion pressure: price decline with volume expansion,NICHE_PARTNERSHIP
43.0,78.57142857142857,62.814851055292884,Moderate,DAVI PHARM_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,DAVI PHARM,VIETNAM,RETAIL,277.8,277.8,0.1,7,12.3,0.603,52.9,39.4,High,Medium,GROWTH,Strong growth (278%) | Niche market ($0.1M) | Share position (12.3%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
44.0,78.06122448979592,62.470626333301524,Moderate,NOVARTIS PHARMA_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,NOVARTIS PHARMA,VIETNAM,RETAIL,51.7,51.7,0.7,7,12.3,0.255,51.6,39.3,High,Medium,MATURE,Strong growth (52%) | Niche market ($0.7M) | Share position (12.3%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
45.0,77.55102040816327,62.384707493884235,Moderate,HASAN-DERMAPHARM_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,500.0,500.0,0.0,19,17.2,2.299,40.2,37.5,High,Medium,MATURE,Strong growth (500%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors) | Price erosion (-24.6%) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
46.0,77.04081632653062,62.35698418889098,Moderate,DANAPHA (TW5)_CARBAMAZEPINE_VIETNAM,CARBAMAZEPINE,DANAPHA (TW5),VIETNAM,RETAIL,32.7,32.7,0.3,14,31.7,0.774,49.6,37.9,High,Medium,MATURE,Stable-to-moderate growth (33%) | Niche market ($0.3M) | Share position (31.7%) | Competitive market (14 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
47.0,76.53061224489795,62.33382596526424,Avoid,DANAPHA (TW5)_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,DANAPHA (TW5),VIETNAM,HOSPITAL,0.0,0.0,0.0,14,31.7,0.0,50.6,39.6,High,Medium,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
48.0,76.0204081632653,61.67953753970339,Avoid,TORRENT_CARBAMAZEPINE_VIETNAM,CARBAMAZEPINE,TORRENT,VIETNAM,HOSPITAL,0.0,0.0,0.1,14,31.7,0.0,49.5,43.2,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.1M) | Share position (31.7%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
49.0,75.51020408163265,61.36029991496662,Avoid,DAVI PHARM_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,DAVI PHARM,VIETNAM,HOSPITAL,22.0,22.0,0.0,4,0.2,0.156,51.7,43.1,Medium,Medium,GROWTH,Stable-to-moderate growth (22%) | Niche market ($0.0M) | Share position (0.2%) | Competitive market (4 competitors) | Pricing power (100.0% growth),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
50.0,75.0,60.74877733022673,Avoid,GSK_LAMOTRIGINE_VIETNAM,LAMOTRIGINE,GSK,VIETNAM,HOSPITAL,39.6,39.6,0.5,8,7.5,0.621,45.7,39.6,High,Medium,MATURE,Stable-to-moderate growth (40%) | Niche market ($0.5M) | Share position (7.5%) | Competitive market (8 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
51.0,74.48979591836735,60.70199777187817,Moderate,PHARMEDIC_TRIHEXYPHENIDYL_VIETNAM,TRIHEXYPHENIDYL,PHARMEDIC,VIETNAM,HOSPITAL,154.1,154.1,0.3,8,7.5,1.07,47.3,40.7,High,Medium,MATURE,Strong growth (154%) | Niche market ($0.3M) | Share position (7.5%) | Competitive market (8 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
52.0,73.9795918367347,60.598880846624986,Avoid,DANAPHA (TW5)_PHENOBARBITAL_VIETNAM,PHENOBARBITAL,DANAPHA (TW5),VIETNAM,HOSPITAL,-11.6,-11.6,0.0,5,4.7,0.625,47.2,40.9,High,Medium,MATURE,Declining demand (-12%) | Niche market ($0.0M) | Share position (4.7%) | Competitive market (5 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,MONITOR
53.0,73.46938775510205,60.48968626515313,Avoid,DANAPHA (TW5)_PHENOBARBITAL_VIETNAM,PHENOBARBITAL,DANAPHA (TW5),VIETNAM,RETAIL,-93.2,-93.2,0.0,4,0.3,1.6,47.8,42.2,High,Medium,GROWTH,Declining demand (-93%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (4 competitors) | Pricing power (24.5% growth) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 93% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
54.0,72.95918367346938,60.41092050233494,Avoid,GSK_LAMOTRIGINE_VIETNAM,LAMOTRIGINE,GSK,VIETNAM,HOSPITAL,44.4,44.4,0.0,4,0.3,0.792,46.8,41.2,High,Medium,MATURE,Stable-to-moderate growth (44%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (4 competitors) | Pricing power (30.5% growth) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
55.0,72.44897959183673,60.20458097577086,Avoid,PYMEPHARCO_PHENYTOIN_VIETNAM,PHENYTOIN,PYMEPHARCO,VIETNAM,RETAIL,0.0,0.0,0.0,19,17.2,0.0,47.3,42.3,High,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
56.0,71.93877551020408,59.989911019212755,Moderate,DANAPHA (TW5)_PHENOBARBITAL_VIETNAM,PHENOBARBITAL,DANAPHA (TW5),VIETNAM,HOSPITAL,248.6,248.6,0.2,7,21.1,1.758,44.8,40.6,High,Medium,MATURE,Strong growth (249%) | Niche market ($0.2M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
57.0,71.42857142857143,59.97154743143541,Moderate,MEDA AB VNX_BROMOCRIPTINE_VIETNAM,BROMOCRIPTINE,MEDA AB VNX,VIETNAM,RETAIL,300.0,300.0,0.2,7,21.1,2.121,47.0,42.8,High,Medium,MATURE,Strong growth (300%) | Niche market ($0.2M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
